step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,personName
1,CASH_OUT,87.7,C0001377,264.68,260.3,M0001371,210.68,296.63,0,0,Linda Martin
2,DEBIT,454.14,C0001033,1201.59,1178.88,M0000638,20163.24,20608.3,0,0,Jennifer Taylor
3,DEBIT,5053.8,C0000327,1015.23,762.54,M0000030,802.52,5755.24,0,0,Richard Jackson
4,DEBIT,325.69,C0001506,7614.37,7598.09,M0000599,934.92,1254.1,0,0,Sarah Taylor
5,DEBIT,604.63,C0001486,21601.76,21571.53,M0001291,899.5,1492.04,0,0,Michael Jackson
6,DEBIT,17495.72,C0001138,8545.2,7670.41,M0000294,118.43,17264.24,0,0,Charles Jones
7,DEBIT,583.31,C0000085,19479.03,19449.86,M0001156,10178.64,10750.28,0,0,Charles Martinez
8,TRANSFER,3083.75,C0001652,1853.78,1699.59,M0000164,195.47,3217.54,0,0,Robert Davis
9,TRANSFER,998.44,C0001634,9606.93,9557.01,M0000919,38.47,1016.94,0,0,Elizabeth Jackson
10,CASH_OUT,60.54,C0001049,1822.39,1819.36,M0000229,2083.22,2142.55,0,0,James Moore
11,DEBIT,6204.17,C0000475,279.0,0.0,M0000223,11728.87,17808.96,0,0,Patricia Jackson
12,PAYMENT,3680.91,C0000286,3150.34,0.0,M0000769,446.6,4053.89,0,0,Karen Jackson
13,TRANSFER,5600.9,C0000973,2231.22,1951.17,M0000340,351.28,5840.16,0,0,James Jackson
14,CASH_OUT,28.59,C0000214,29753.48,29752.05,M0001568,1022.83,1050.85,0,0,Mary Taylor
15,TRANSFER,2854.55,C0001658,4633.44,4490.71,M0000046,6064.64,8862.1,0,0,Thomas Jones
16,TRANSFER,58040.9,C0000691,680.02,0.0,M0000860,350.08,57230.16,0,0,Susan Smith
17,DEBIT,268.83,C0000668,3125.4,3111.96,M0000611,6.22,269.67,0,0,Charles Wilson
18,DEBIT,1552.93,C0001014,8450.44,8372.79,M0001379,1386.7,2908.57,0,0,James Williams
19,TRANSFER,387.29,C0001376,11554.87,11535.51,M0000158,248.61,628.15,0,0,Michael Rodriguez
20,DEBIT,150.48,C0000666,839.51,831.99,M0000197,1117.73,1265.2,0,0,John Martinez
21,DEBIT,659.27,C0000588,8894.0,8861.04,M0000837,1667.48,2313.56,0,0,Jessica Garcia
22,TRANSFER,33052.57,C0001373,243.33,0.0,M0001590,4.95,32396.47,0,0,Linda Moore
23,TRANSFER,153.7,C0000541,1263.85,1256.16,M0000389,421.78,572.41,0,0,Thomas Davis
24,CASH_OUT,1264.23,C0000609,92692.25,92629.04,M0001569,383.68,1622.63,0,0,Thomas Taylor
25,PAYMENT,829.35,C0000533,51917.52,51088.17,M0000208,146.0,958.76,0,0,Sarah Smith
26,DEBIT,3320.53,C0000732,26097.56,25931.53,M0000255,152.34,3406.46,0,0,William Gonzalez
27,DEBIT,5.91,C0000645,73990.11,73989.81,M0000199,166.7,172.49,0,0,Susan Miller
28,TRANSFER,31530.11,C0000751,170.19,0.0,M0000764,1443.22,32342.73,0,0,Barbara Jackson
29,DEBIT,9209.87,C0001186,1314.89,854.4,M0000283,381.9,9407.57,0,0,Jennifer Thomas
30,DEBIT,2096.49,C0001615,29224.0,29119.18,M0000636,1962.16,4016.72,0,0,Thomas Davis
31,TRANSFER,62556.21,C0001465,1282.98,0.0,M0001490,1347.4,62652.49,0,0,Mary Wilson
32,PAYMENT,801.92,C0000309,8771.8,7969.88,M0000948,603.31,1389.19,0,0,Elizabeth Hernandez
33,TRANSFER,263.63,C0000923,17966.03,17952.85,M0000509,536.02,794.38,0,0,Linda Smith
